Question Number,Question,Answer,Category,Difficulty
12,What is Binary Search?,"[
  ""Binary search is an efficient searching algorithm that finds an element in a sorted array by repeatedly dividing the search space into halves."",
  
  ""It is a method that compares the target value with the middle element of a sorted list and eliminates half of the remaining elements in each step."",
  
  ""Binary search works by repeatedly splitting a sorted dataset and narrowing down the search range until the desired element is found."",
  
  ""It is a divide-and-conquer algorithm used to search for an element in a sorted collection with logarithmic time complexity."",
  
  ""Binary search locates a target value by checking the middle element and deciding whether to continue searching in the left or right half.""
]",Data Structures & Algorithms (DSA) ,Easy
13,What is Sorting? Name some sorting algorithms.,"[
  ""Sorting is the process of arranging data in a specific order, such as ascending or descending. Common sorting algorithms include Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, and Quick Sort."",
  
  ""It refers to organizing elements of a dataset in a particular sequence to make searching and processing easier. Examples of sorting algorithms are Bubble Sort, Insertion Sort, Quick Sort, Merge Sort, and Heap Sort."",
  
  ""Sorting is a technique used to reorder data elements based on a defined criterion. Some popular algorithms are Selection Sort, Bubble Sort, Merge Sort, Quick Sort, and Radix Sort."",
  
  ""It is the method of arranging items systematically, usually in numerical or alphabetical order. Common sorting algorithms include Insertion Sort, Quick Sort, Merge Sort, Heap Sort, and Counting Sort."",
  
  ""Sorting is the process of placing elements in a structured order to improve efficiency. Examples of sorting algorithms are Bubble Sort, Selection Sort, Insertion Sort, Quick Sort, and Merge Sort.""
]",Data Structures & Algorithms (DSA) ,Easy
14,What is Recursion?,"[
  ""Recursion is a programming technique where a function calls itself to solve a problem by breaking it down into smaller subproblems."",
  
  ""It is a method in which a function repeats its execution by calling itself until a base condition is met."",
  
  ""Recursion refers to solving a problem by dividing it into simpler instances of the same problem."",
  
  ""It is a process where a function invokes itself with modified parameters to eventually reach a terminating condition."",
  
  ""Recursion is used in computer science to implement algorithms that can be defined in terms of smaller, similar subproblems.""
]",Data Structures & Algorithms (DSA) ,Easy
15,What is a Graph?,"[
  ""A graph is a non-linear data structure consisting of vertices (nodes) and edges that connect pairs of vertices."",
  
  ""It is a data structure used to represent relationships between objects, where nodes represent entities and edges represent connections."",
  
  ""A graph is a collection of points called vertices and lines called edges that link some pairs of vertices."",
  
  ""It is a structure used in computer science to model networks, where elements are connected in arbitrary ways."",
  
  ""A graph represents data in terms of nodes and their relationships, allowing for complex connections unlike linear structures.""
]",Data Structures & Algorithms (DSA) ,Easy
16,What are BFS and DFS?,"[
  ""BFS (Breadth-First Search) and DFS (Depth-First Search) are graph traversal algorithms; BFS explores nodes level by level, while DFS explores as deep as possible before backtracking."",
  
  ""They are searching techniques used in graphs and trees where BFS uses a queue to visit nodes in layers, and DFS uses a stack or recursion to explore deeper paths first."",
  
  ""BFS and DFS are algorithms for traversing or searching data structures; BFS moves across neighbors first, while DFS dives into one branch before exploring others."",
  
  ""Breadth-First Search visits all nodes at the current depth before moving deeper, whereas Depth-First Search goes down one path completely before trying alternative paths."",
  
  ""BFS and DFS are fundamental traversal methods where BFS is suitable for shortest path in unweighted graphs, and DFS is useful for pathfinding and backtracking problems.""
]",Data Structures & Algorithms (DSA) ,Easy
17,What is a Binary Search Tree (BST)?,"[
  ""A Binary Search Tree (BST) is a binary tree where each node follows the property that all values in the left subtree are smaller and all values in the right subtree are larger than the node."",
  
  ""It is a type of binary tree in which nodes are arranged in a sorted manner, enabling efficient search, insertion, and deletion operations."",
  
  ""A BST is a hierarchical data structure where for every node, the left child contains lesser values and the right child contains greater values."",
  
  ""It is a binary tree that maintains an ordered structure, allowing operations like searching to be performed in logarithmic time on average."",
  
  ""A Binary Search Tree is a tree-based data structure where elements are stored such that for each node, left descendants are smaller and right descendants are larger.""
]",Data Structures & Algorithms (DSA) ,Easy
18,What is Searching? Name two searching techniques.,"[
  ""Searching is the process of finding a specific element in a dataset. Two common searching techniques are Linear Search and Binary Search."",
  
  ""It refers to locating a particular value within a collection of data. Examples of searching techniques include Linear Search and Binary Search."",
  
  ""Searching is a method used to identify the presence or position of an element in a data structure. Two techniques are Linear Search and Binary Search."",
  
  ""It is the operation of retrieving a desired item from a dataset. Common searching algorithms are Linear Search and Binary Search."",
  
  ""Searching involves checking elements in a dataset to find a target value. Two widely used techniques are Linear Search and Binary Search.""
]",Data Structures & Algorithms (DSA) ,Easy
19,What is the Best Searching Algorithm?,"[
  ""There is no single best searching algorithm; the choice depends on the data structure and conditions, but Binary Search is often preferred for sorted data due to its efficiency."",
  
  ""The best searching algorithm varies based on the problem, though Binary Search is considered efficient for sorted datasets, while Linear Search works for unsorted data."",
  
  ""No algorithm is universally best; Binary Search is optimal for sorted arrays, whereas Linear Search is suitable for small or unsorted datasets."",
  
  ""The best searching method depends on factors like data size and organization; Binary Search is commonly used for its logarithmic time complexity."",
  
  ""It depends on the use case, but Binary Search is generally regarded as efficient for large sorted datasets, while other methods may be better in different scenarios.""
]",Data Structures & Algorithms (DSA) ,Easy
20,What is the Best Sorting Algorithm?,"[
  ""There is no single best sorting algorithm; the choice depends on factors like data size and structure, but Quick Sort and Merge Sort are commonly efficient for general use."",
  
  ""The best sorting algorithm varies by situation; Quick Sort is often fast in practice, while Merge Sort provides stable and consistent performance."",
  
  ""No algorithm is universally best; for large datasets Merge Sort and Quick Sort are preferred, while simpler algorithms like Insertion Sort work well for small datasets."",
  
  ""The optimal sorting algorithm depends on requirements such as stability and memory usage; Heap Sort, Merge Sort, and Quick Sort are widely used efficient algorithms."",
  
  ""It depends on the context, but Quick Sort is often considered efficient on average, while Merge Sort is preferred when stable sorting is required.""
]",Data Structures & Algorithms (DSA) ,Easy
21,What is the difference between stable and unstable sorting?,"[
  ""A stable sorting algorithm preserves the relative order of equal elements, whereas an unstable sorting algorithm may change their original order."",
  
  ""Stable sorting keeps duplicate elements in the same order as they appear in the input, while unstable sorting does not guarantee this property."",
  
  ""The key difference is that stable sorting maintains the position of equal keys, whereas unstable sorting can rearrange them arbitrarily."",
  
  ""In stable sorting, elements with the same value retain their original sequence, but in unstable sorting, their order may be altered."",
  
  ""Stable sorting algorithms ensure that equal elements remain in the same relative order after sorting, while unstable ones may not preserve this order.""
]

An unstable sorting algorithm may change this order.

Stable sorts: Merge Sort, Insertion Sort
Unstable sorts: Quick Sort, Heap Sort

 Stability is important when sorting records with multiple fields (like sorting by name after sorting by age).",Data Structures & Algorithms (DSA) ,Medium
22,Why is Binary Search faster than Linear Search?,"[
  ""Binary search is faster because it repeatedly divides the search space in half, reducing the number of comparisons, while linear search checks each element one by one."",
  
  ""It is faster since binary search has logarithmic time complexity O(log n), whereas linear search has linear time complexity O(n)."",
  
  ""Binary search eliminates half of the remaining elements at each step, making it more efficient than linear search which scans the entire list sequentially."",
  
  ""The speed advantage comes from the divide-and-conquer approach of binary search, unlike linear search which performs a full traversal in the worst case."",
  
  ""Binary search works on sorted data and reduces search operations significantly, while linear search does not reduce the search space and checks every element.""
]
O(log?n)<O(n)
Linear search checks each element one by one, while binary search eliminates half of the remaining elements each time.",Data Structures & Algorithms (DSA) ,Medium
23,What is the worst-case time complexity of Quick Sort and when does it occur?,"[
  ""The worst-case time complexity of Quick Sort is O(n^2), and it occurs when the pivot chosen results in highly unbalanced partitions, such as when the array is already sorted and the first or last element is chosen as the pivot."",
  
  ""Quick Sort has a worst-case complexity of O(n^2), which happens when each partition divides the array into one element and the rest, leading to maximum recursion depth."",
  
  ""The worst case for Quick Sort is O(n^2), occurring when poor pivot selection causes one side of the partition to be empty or nearly empty at every step."",
  
  ""Quick Sort reaches O(n^2) time complexity when the pivot consistently splits the array unevenly, such as in already sorted or reverse-sorted inputs with naive pivot selection."",
  
  ""The worst-case complexity is O(n^2), and it occurs when the partitioning process fails to divide the array efficiently, resulting in a highly skewed recursion tree.""
]",Data Structures & Algorithms (DSA) ,Medium
24,What is the difference between Merge Sort and Quick Sort?,"[
  ""Merge Sort is a stable, divide-and-conquer algorithm that requires additional memory for merging, while Quick Sort is an in-place, divide-and-conquer algorithm that is usually faster but not stable."",
  
  ""Merge Sort divides the array into halves and merges sorted subarrays using extra space, whereas Quick Sort partitions the array around a pivot and sorts in place."",
  
  ""Merge Sort has a guaranteed time complexity of O(n log n) in all cases, while Quick Sort has an average complexity of O(n log n) but a worst case of O(n^2)."",
  
  ""Merge Sort is preferred when stability is required and works well with linked lists, while Quick Sort is often faster in practice and uses less memory."",
  
  ""The main difference is that Merge Sort uses extra space and ensures consistent performance, while Quick Sort is memory-efficient but depends heavily on pivot selection.""
]",Data Structures & Algorithms (DSA) ,Medium
25,What is Insertion Sort and when is it useful?,"[
  ""Insertion Sort is a simple sorting algorithm that builds the sorted list one element at a time by inserting each element into its correct position. It is useful for small datasets or nearly sorted data."",
  
  ""It is a sorting technique where elements are picked one by one and placed in their appropriate position within a sorted portion of the array. It works well when the data is already partially sorted."",
  
  ""Insertion Sort works by comparing each element with the ones before it and inserting it in the correct place. It is efficient for small inputs and datasets with minimal unsorted elements."",
  
  ""It is an algorithm that sorts by shifting elements and inserting the current element into its correct location. It is useful for online sorting and small-sized lists."",
  
  ""Insertion Sort is a stable, in-place sorting method that is best suited for small arrays or cases where the input is nearly sorted.""
]",Data Structures & Algorithms (DSA) ,Medium
26,What is the difference between Linear Search and Binary Search?,"[
  ""Linear Search checks each element one by one until the target is found, while Binary Search repeatedly divides a sorted array into halves to locate the target."",
  
  ""The main difference is that Linear Search works on both sorted and unsorted data, whereas Binary Search requires sorted data."",
  
  ""Linear Search has a time complexity of O(n), while Binary Search has a time complexity of O(log n)."",
  
  ""In Linear Search, elements are searched sequentially, whereas Binary Search compares the target with the middle element and eliminates half of the search space each step."",
  
  ""Linear Search is simpler but slower for large datasets, while Binary Search is faster but requires sorted arrays."",
  
  ""Binary Search is more efficient than Linear Search because it reduces the search range after each comparison."",
  
  ""Linear Search may examine every element in the worst case, while Binary Search quickly narrows down the possible location of the target."",
  
  ""The key difference is that Linear Search performs sequential traversal, whereas Binary Search uses divide-and-conquer on sorted data.""
]",Data Structures & Algorithms (DSA) ,Medium
27,How do you find the first occurrence of an element in a sorted array?,"[
  ""The first occurrence of an element in a sorted array can be found using a modified Binary Search that continues searching on the left side after finding the target."",
  
  ""Use Binary Search to locate the element, and whenever the target is found, store the index and move the high pointer to mid - 1 to search for earlier occurrences."",
  
  ""A modified Binary Search is used where the search continues toward the left half even after finding the target element."",
  
  ""To find the first occurrence, compare the middle element with the target and keep searching the left portion until the earliest index is found."",
  
  ""The approach involves using Binary Search and updating the answer index whenever the target appears, then narrowing the search to the left side."",
  
  ""Since the array is sorted, Binary Search can efficiently find the first occurrence in O(log n) time."",
  
  ""After finding the target in Binary Search, continue checking the left half to ensure no earlier occurrence exists."",
  
  ""The key idea is to use Binary Search while shrinking the search space toward the left whenever the target element is matched.""
]",Data Structures & Algorithms (DSA) ,Medium
28,What is Heap Sort and its advantage?,"[
  ""Heap Sort is a comparison-based sorting algorithm that uses a binary heap data structure to sort elements efficiently."",
  
  ""It is a sorting technique where elements are arranged into a heap and repeatedly removed to produce a sorted array."",
  
  ""Heap Sort works by building a max heap (or min heap) and repeatedly swapping the root element with the last element."",
  
  ""It is an in-place sorting algorithm with a time complexity of O(n log n) in all cases."",
  
  ""The main advantage of Heap Sort is that it guarantees O(n log n) performance regardless of input order."",
  
  ""Heap Sort does not require extra memory for sorting, making it memory efficient compared to some other algorithms."",
  
  ""It is useful for large datasets because its worst-case performance remains efficient and predictable."",
  
  ""The key advantage of Heap Sort is its consistent performance and ability to sort without additional storage space.""
]",Data Structures & Algorithms (DSA) ,Medium
29,What is quick sort? How it works? State the advantages and disadvatages.,"[
  ""Quick Sort is a divide-and-conquer sorting algorithm that selects a pivot element and partitions the array into smaller and larger elements around the pivot. It recursively sorts the subarrays. Advantages include average-case time complexity of O(n log n) and fast practical performance. Disadvantages include worst-case complexity of O(n²) and recursive stack usage."",
  
  ""Quick Sort works by choosing a pivot, placing elements smaller than the pivot on one side and larger elements on the other side, then recursively sorting both partitions. Its advantages are high speed, in-place sorting, and cache efficiency. Its disadvantages are poor worst-case performance and instability."",
  
  ""It is a sorting algorithm that partitions data around a pivot and recursively applies the same process to subarrays. Advantages include efficient average performance and low memory usage. Disadvantages include possible worst-case O(n²) time and sensitivity to pivot selection."",
  
  ""Quick Sort repeatedly divides the array into partitions using a pivot element until the array becomes sorted. Advantages are fast execution and in-place operation. Disadvantages are recursive overhead and degraded performance for poorly chosen pivots."",
  
  ""Quick Sort selects a pivot element, rearranges elements so smaller values come before it and larger values come after it, and recursively sorts the partitions. Advantages include excellent average-case speed and simplicity. Disadvantages include instability and worst-case quadratic time."",
  
  ""It is a recursive sorting algorithm based on partitioning. The algorithm chooses a pivot, partitions the array, and recursively sorts the left and right parts. Advantages are efficient average performance and low auxiliary memory. Disadvantages are stack overhead and poor performance on already sorted data if pivots are poorly chosen."",
  
  ""Quick Sort uses the divide-and-conquer approach where a pivot divides the array into smaller subproblems. Advantages include average O(n log n) complexity and practical efficiency. Disadvantages include unstable sorting and worst-case O(n²) behavior."",
  
  ""The algorithm works by partitioning elements around a pivot and recursively sorting the resulting subarrays. Advantages are speed and memory efficiency. Disadvantages are dependence on pivot choice and potential deep recursion in worst cases.""
]",Data Structures & Algorithms (DSA) ,Medium
30,What is Merge Sort? How it works? State the advantages and disadvatages.,"[
  ""Merge Sort is a divide-and-conquer sorting algorithm that splits the array into halves, recursively sorts each half, and then merges them back together. It has advantages like guaranteed O(n log n) time complexity and stability, but it requires extra memory."",
  
  ""It is a sorting algorithm that divides the dataset into smaller subarrays, sorts them recursively, and merges them in sorted order. Its advantages include consistent performance and stability, while its main disadvantage is additional space usage."",
  
  ""Merge Sort works by repeatedly dividing the array into two halves until single elements remain, then merging them in sorted order. It is efficient and stable but uses extra memory and may be slower for small datasets."",
  
  ""It is a recursive sorting technique that follows divide-and-conquer by splitting, sorting, and merging. Advantages include predictable time complexity and suitability for linked lists, while disadvantages include higher space complexity."",
  
  ""Merge Sort is an algorithm that breaks down a list into smaller parts, sorts each part, and combines them. It offers stable sorting and good performance for large data, but requires additional memory and has overhead for recursion.""
]",Data Structures & Algorithms (DSA) ,Medium
31,What is the difference between BFS and DFS?,"[
  ""BFS (Breadth-First Search) explores nodes level by level using a queue, while DFS (Depth-First Search) explores as deep as possible along a branch using a stack or recursion."",
  
  ""The main difference is that BFS visits all neighbors first before going deeper, whereas DFS goes deep into one path before backtracking."",
  
  ""BFS uses a queue data structure and guarantees the shortest path in unweighted graphs, while DFS uses a stack and does not guarantee the shortest path."",
  
  ""In BFS, traversal happens breadth-wise across levels, while in DFS, traversal happens depth-wise along branches."",
  
  ""BFS is suitable for finding the shortest path and level-order traversal, whereas DFS is useful for backtracking and exploring all possible paths.""
]",Data Structures & Algorithms (DSA) ,Medium
32,What is Dynamic Programming?,"[
  ""Dynamic Programming is a technique used to solve problems by breaking them into smaller overlapping subproblems and storing their results to avoid recomputation."",
  
  ""It is an optimization method that solves complex problems by solving simpler subproblems and using memoization or tabulation to improve efficiency."",
  
  ""Dynamic Programming refers to solving problems with optimal substructure and overlapping subproblems by storing intermediate results."",
  
  ""It is a method where results of previously solved subproblems are reused to reduce time complexity in recursive solutions."",
  
  ""Dynamic Programming is a problem-solving approach that combines recursion with caching to efficiently compute solutions.""
]",Data Structures & Algorithms (DSA) ,Medium
33,What is the difference between Greedy and Dynamic Programming?,"[
  ""Greedy algorithms make locally optimal choices at each step, while dynamic programming solves problems by considering all subproblems and combining their optimal solutions."",
  
  ""The main difference is that greedy approaches choose the best option at the moment without reconsideration, whereas dynamic programming stores results of subproblems to find a globally optimal solution."",
  
  ""Greedy algorithms are faster and simpler but may not always give optimal results, while dynamic programming guarantees optimal solutions by solving overlapping subproblems."",
  
  ""In greedy methods, decisions are made step by step based on immediate benefit, while dynamic programming uses memoization or tabulation to ensure optimal overall results."",
  
  ""Greedy algorithms work when a problem has the greedy choice property, whereas dynamic programming is used when problems have overlapping subproblems and optimal substructure.""
]",Data Structures & Algorithms (DSA) ,Medium
34,What is a Hash Table?,"[
  ""A hash table is a data structure that stores key-value pairs and uses a hash function to compute an index for efficient data retrieval."",
  
  ""It is a structure that maps keys to values using a hashing technique, allowing fast lookup, insertion, and deletion operations."",
  
  ""A hash table uses a hash function to convert keys into array indices where the corresponding values are stored."",
  
  ""It is a data structure designed for quick access by associating keys with values through a computed hash index."",
  
  ""A hash table organizes data in an array-like structure where keys are transformed into positions using a hash function.""
]",Data Structures & Algorithms (DSA) ,Medium
35,What is Collision in Hashing?,"[
  ""A collision in hashing occurs when two or more different keys produce the same hash value and map to the same index in a hash table."",
  
  ""It is a situation where multiple inputs are assigned to the same location in a hash table due to limitations of the hash function."",
  
  ""Collision happens when distinct keys generate identical hash codes, causing them to be stored in the same bucket."",
  
  ""In hashing, a collision refers to the event where different data elements compete for the same position in the table."",
  
  ""It is a condition in which the hash function cannot uniquely map each key to a separate index, leading to overlapping entries."",
  
  ""Collision occurs when two keys share the same hash index, requiring collision resolution techniques like chaining or open addressing."",
  
  ""It is the phenomenon where different keys result in the same hash output, making it necessary to handle multiple values at one index."",
  
  ""A hashing collision is when multiple elements are assigned to the same slot in a hash table due to identical hash values.""
]",Data Structures & Algorithms (DSA) ,Medium
36,What is a Heap?,"[
  ""A heap is a specialized tree-based data structure that satisfies the heap property, where in a max heap the parent node is greater than its children and in a min heap the parent node is smaller."",
  
  ""It is a complete binary tree in which each node follows a specific ordering property, either max-heap or min-heap."",
  
  ""A heap is a data structure used to efficiently retrieve the maximum or minimum element, depending on its type."",
  
  ""It is a binary tree-based structure where elements are arranged such that the root node holds the highest or lowest value."",
  
  ""A heap is commonly implemented as an array and maintains a partial order where parent nodes dominate their children."",
  
  ""It is a priority-based data structure where elements are organized according to their priority rather than insertion order."",
  
  ""A heap is used in algorithms like priority queues and heap sort to efficiently manage ordered data."",
  
  ""It is a complete binary tree structure that ensures efficient insertion and deletion while maintaining heap order.""
]",Data Structures & Algorithms (DSA) ,Medium
37,What is the difference between Stack and Heap memory?,"[
  ""Stack memory is used for static memory allocation and stores local variables with fast access, while heap memory is used for dynamic allocation and allows flexible memory usage but with slower access."",
  
  ""The stack stores function calls and local variables in a last-in-first-out manner, whereas the heap stores dynamically allocated objects without a fixed order."",
  
  ""Stack memory is automatically managed and has limited size, while heap memory is manually managed (or garbage collected) and can grow dynamically."",
  
  ""In stack memory, allocation and deallocation happen in a structured way, while heap memory allows allocation at runtime without a strict order."",
  
  ""Stack is faster and used for temporary data, while heap is slower but used for objects that require dynamic lifetime."",
  
  ""Stack memory is contiguous and follows LIFO, whereas heap memory is more flexible and used for large or complex data structures."",
  
  ""Stack memory is limited and automatically freed after function execution, while heap memory persists until it is explicitly deallocated."",
  
  ""The main difference is that stack memory is used for short-lived variables with automatic management, while heap memory is used for long-lived data with dynamic control.""
]",Data Structures & Algorithms (DSA) ,Medium
38,What is a Trie and how is it used in real applications?,"[
  ""A Trie is a tree-like data structure used to store strings where each node represents a character. It is commonly used in applications like autocomplete, spell checking, and dictionary lookup."",
  
  ""It is a prefix tree that organizes strings in a hierarchical way, allowing efficient searching based on prefixes. It is used in search engines and predictive text systems."",
  
  ""A Trie stores words by breaking them into characters and linking them in a tree structure. It is useful for tasks like auto-suggestions and IP routing."",
  
  ""It is a data structure designed for fast retrieval of strings, especially when dealing with large datasets of words. Real-world uses include contact lists and search suggestions."",
  
  ""A Trie is used to store and retrieve keys in a dataset of strings efficiently, particularly for prefix-based queries like autocomplete and word filtering."",
  
  ""It is a specialized tree where each path from root to node represents a prefix, making it ideal for applications like spell checkers and text prediction."",
  
  ""A Trie allows efficient insertion and search operations for strings and is widely used in applications requiring prefix matching such as dictionaries and search engines."",
  
  ""It is a non-linear data structure that helps in storing strings in a way that common prefixes are shared, reducing redundancy and improving search speed in applications like autocomplete systems.""
]",Data Structures & Algorithms (DSA) ,Medium
39,What is Backtracking and how is it different from recursion?,"[
  ""Backtracking is an algorithmic technique that explores all possible solutions by building them step by step and abandoning paths that fail constraints, while recursion is a general programming method where a function calls itself."",
  
  ""It is a problem-solving approach that uses recursion to try all possibilities and undo choices when they lead to invalid solutions, whereas recursion itself is just a function-calling mechanism."",
  
  ""Backtracking is a specific use of recursion for solving combinatorial problems by exploring and pruning solution spaces, while recursion is a broader concept used for many types of problems."",
  
  ""In backtracking, decisions are made and reversed if they do not lead to a valid solution, whereas recursion simply breaks problems into smaller subproblems without necessarily undoing choices."",
  
  ""Backtracking involves exploring all configurations and discarding invalid ones using recursion, while recursion is just the technique of calling a function within itself."",
  
  ""Backtracking is used in problems like N-Queens and Sudoku where choices are tried and reverted, while recursion is a general tool that may or may not involve such decision reversal."",
  
  ""It is a technique that systematically searches for solutions and backtracks when constraints are violated, whereas recursion is only the mechanism enabling repeated function calls."",
  
  ""Backtracking is a more advanced application of recursion that includes constraint checking and pruning, while recursion alone does not imply such logic.""
]",Data Structures & Algorithms (DSA) ,Medium
40,What is the Sliding Window Technique?,"[
  ""The Sliding Window Technique is an algorithmic approach that processes a subset of elements by maintaining a window that moves across the data, reducing redundant computations."",
  
  ""It is a method used to efficiently handle problems involving subarrays or substrings by sliding a fixed or variable-sized window over the input."",
  
  ""The technique involves maintaining a range of elements and adjusting its boundaries dynamically to optimize time complexity, often reducing nested loops."",
  
  ""Sliding window is used to improve performance in problems where a continuous segment of data needs to be analyzed, such as finding maximum sum subarrays."",
  
  ""It is an optimization technique that replaces brute-force approaches by reusing previous computations as the window shifts forward."",
  
  ""The sliding window approach works by expanding and shrinking a window over the data structure to meet certain conditions efficiently."",
  
  ""It is commonly applied in array and string problems where contiguous elements are processed in a linear time complexity."",
  
  ""The technique helps in reducing time complexity from O(n^2) to O(n) by avoiding repeated calculations for overlapping subproblems.""
]",Data Structures & Algorithms (DSA) ,Medium
